State of Charge (SOC) (%),State of Health (SOH) (%),Cycle Count,Voltage (V),Temperature (°C),Internal Resistance (mΩ)
55.13936634610347,79.0417455264264,753,3.0458811496533538,35.53267207838118,83.96345790820033
95.66661598979158,97.11291532781503,1370,3.724088500808675,38.55440373524672,51.3089807360149
84.86853740288598,79.02045806381129,1121,4.048062183037134,31.379935639811364,94.53560710445684
78.3560204475705,70.87045284444241,776,3.373327981344946,31.048752279469657,44.048069114972286
70.34293450021558,95.30882896363653,276,3.052664974849207,22.12795935357301,61.543218963699005
37.17993650186,98.16459345538541,1237,3.3012850255327555,32.775019006392604,55.43247269122275
86.29371668743164,84.86083524407229,152,3.977838597826066,19.225611084922438,53.01925220495099
55.491979115838305,89.44017788066004,1157,3.9333162602720533,21.239038569174227,54.30624367046006
47.71470109454725,93.17727548671019,947,3.4333241233309675,24.952440636117473,26.266794667902484
66.4750521518566,85.85736269168275,1196,3.089349002364151,30.22750725549104,39.531500901378614
